Date,Promotion,Event Name,Location 1,Location 2
Sep 29th 2015,WWE,Smackdown Taping,Albany,New York
Sep 29th 2015,WWE,Main Event Taping,Albany,New York
Sep 28th 2015,WWE,Monday Night Raw,Buffalo,New York
Sep 28th 2015,WWE,Superstars Taping,Buffalo,New York
Sep 27th 2015,WWE,WWE Live,Erie,Pennsylvania
Sep 27th 2015,WWE,WWE Live,Syracuse,New York
Sep 26th 2015,WWE,WWE Live,Rochester,New York
Sep 26th 2015,WWE,WWE Live,Cleveland,Ohio
Sep 25th 2015,WWE,WWE Live,Toronto,Ontario
Sep 22nd 2015,WWE,Smackdown Taping,Corpus Christi,Texas
Sep 22nd 2015,WWE,Main Event Taping,Corpus Christi,Texas
Sep 21st 2015,WWE,Monday Night Raw,Laredo,Texas
Sep 21st 2015,WWE,Superstars Taping,Laredo,Texas
Sep 20th 2015,WWE,Night of Champions '15,Houston,Texas
Sep 19th 2015,WWE,WWE Live,Beaumont,Texas
Sep 19th 2015,WWE,WWE Live,Waco,Texas
Sep 18th 2015,WWE,WWE Live,Montreal,Quebec
Sep 15th 2015,WWE,Smackdown Taping,Little Rock,Arkansas
Sep 15th 2015,WWE,Main Event Taping,Little Rock,Arkansas
Sep 14th 2015,WWE,Monday Night Raw,Memphis,Tennessee
Sep 14th 2015,WWE,Superstars Taping,Memphis,Tennessee
Sep 13th 2015,WWE,WWE Live,Tupelo,Mississippi
Sep 13th 2015,WWE,WWE Live,Jonesboro,Arkansas
Sep 12th 2015,WWE,WWE Live,Huntsville,Alabama
Sep 12th 2015,WWE,WWE Live,Calgary,Alberta
Sep 11th 2015,WWE,WWE Live,Edmonton,Alberta
Sep 8th 2015,WWE,Smackdown Taping,Wilkes-Barre,Pennsylvania
Sep 8th 2015,WWE,Main Event Taping,Wilkes-Barre,Pennsylvania
Sep 7th 2015,WWE,Monday Night Raw,Baltimore,Maryland
Sep 7th 2015,WWE,Superstars Taping,Baltimore,Maryland
Sep 6th 2015,WWE,WWE Live,Fairfax,Virginia
Sep 6th 2015,WWE,WWE Live,Salisbury,Maryland
Sep 5th 2015,WWE,WWE Live,Wildwood,New Jersey
Sep 5th 2015,WWE,WWE Live,Charlottesville,Virginia
Sep 4th 2015,WWE,WWE Live,Hampton,Virginia
Sep 1st 2015,WWE,Smackdown Taping,Miami,Florida
Sep 1st 2015,WWE,Main Event Taping,Miami,Florida
Aug 31st 2015,WWE,Monday Night Raw,Tampa,Florida
Aug 31st 2015,WWE,Superstars Taping,Tampa,Florida
Aug 30th 2015,WWE,WWE Live,Daytona Beach,Florida
Aug 30th 2015,WWE,WWE Live,Tallahassee,Florida
Aug 29th 2015,WWE,WWE Live,San Juan,Puerto Rico
Aug 29th 2015,WWE,WWE Live,Orlando,Florida
Aug 28th 2015,WWE,WWE Live,Estero,Florida
Aug 25th 2015,WWE,Tough Enough Finals,Winter Park,Florida
Aug 25th 2015,WWE,Smackdown Taping,Providence,Rhode Island
Aug 25th 2015,WWE,Main Event Taping,Providence,Rhode Island
Aug 24th 2015,WWE,Monday Night Raw,Brooklyn,New York
Aug 24th 2015,WWE,Superstars Taping,Brooklyn,New York
Aug 23rd 2015,WWE,SummerSlam '15,Brooklyn,New York
Aug 21st 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Bridgeport,Connecticut
Aug 18th 2015,WWE,Smackdown Taping,Green Bay,Wisconsin
Aug 18th 2015,WWE,Main Event Taping,Green Bay,Wisconsin
Aug 17th 2015,WWE,Monday Night Raw,Minneapolis,Minnesota
Aug 17th 2015,WWE,Superstars Taping,Minneapolis,Minnesota
Aug 16th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Bemidji,Minnesota
Aug 16th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Fargo,North Dakota
Aug 15th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Sioux Falls,South Dakota
Aug 15th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Detroit,Michigan
Aug 11th 2015,WWE,Smackdown Taping,Portland,Oregon
Aug 11th 2015,WWE,Main Event Taping,Portland,Oregon
Aug 10th 2015,WWE,Monday Night Raw,Everett,Washington
Aug 10th 2015,WWE,Superstars Taping,Everett,Washington
Aug 9th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Vancouver,British Columbia
Aug 8th 2015,WWE,WWE Live - SummerSlam Heatwave Tour,Victoria,British Columbia
Aug 8th 2015,WWE,WWE Live,Sydney,New South Wales
Aug 7th 2015,WWE,WWE Live,Melbourne,Victoria
Aug 6th 2015,WWE,WWE Live,Brisbane,Queensland
Aug 4th 2015,WWE,Smackdown Taping,Sacramento,California
